ID,TYPE,X,Y,Z,ORDERPARAMETER,NORMALIZED X, NORMALIZED Y, NORMALIZED Z, NORMALIZED OP, CN
234,2,1.846790,-89.480400,1.927840,8.633698,-0.959464,-1.000000,-0.999999,0.251187,3
238,2,0.961181,-87.668503,3.952850,22.921234,-0.979197,-0.979804,-0.866666,0.666866,8
259,2,2.766510,-86.755402,1.927840,22.916786,-0.938971,-0.969627,-0.999999,0.666736,8
261,2,3.689210,-88.524803,3.952850,25.708426,-0.918411,-0.989349,-0.866666,0.747956,9
84,2,6.374840,-89.480400,3.952840,17.241922,-0.858571,-1.000000,-0.866666,0.501633,6
99,2,8.217250,-88.524803,1.927840,17.124266,-0.817518,-0.989349,-0.999999,0.498210,6
258,2,5.489220,-87.668503,1.927840,20.039282,-0.878304,-0.979804,-0.999999,0.583019,7
293,2,7.294550,-86.755402,3.952850,34.356937,-0.838078,-0.969627,-0.866666,0.999574,12
98,2,10.902900,-89.480400,1.927840,11.484268,-0.757677,-1.000000,-0.999999,0.334121,4
104,2,10.017300,-87.668503,3.952850,31.475924,-0.777410,-0.979804,-0.866666,0.915754,11
131,2,11.822600,-86.755402,1.927840,22.916759,-0.737184,-0.969627,-0.999999,0.666735,8
133,2,12.745300,-88.524803,3.952850,25.708338,-0.716625,-0.989349,-0.866666,0.747953,9
12,2,15.430900,-89.480400,3.952840,17.241867,-0.656785,-1.000000,-0.866666,0.501631,6
27,2,17.273300,-88.524803,1.927840,17.124310,-0.615732,-0.989349,-0.999999,0.498211,6
130,2,14.545300,-87.668503,1.927840,20.039215,-0.676517,-0.979804,-0.999999,0.583017,7
165,2,16.350599,-86.755402,3.952850,34.356876,-0.636292,-0.969627,-0.866666,0.999572,12
26,2,19.959000,-89.480400,1.927840,11.484315,-0.555890,-1.000000,-0.999999,0.334122,4
32,2,19.073400,-87.668503,3.952850,31.476067,-0.575623,-0.979804,-0.866666,0.915758,11
58,2,20.878700,-86.755402,1.927840,22.916807,-0.535397,-0.969627,-0.999999,0.666737,8
60,2,21.801399,-88.524803,3.952850,25.708340,-0.514838,-0.989349,-0.866666,0.747953,9
450,2,3.674950,-84.035202,1.927840,22.913763,-0.918729,-0.939307,-0.999999,0.666648,8
451,2,0.959057,-83.128197,1.927840,17.176470,-0.979244,-0.929198,-0.999999,0.499729,6
453,2,1.864350,-84.942596,3.952850,31.506474,-0.959073,-0.949421,-0.866666,0.916643,11
456,2,2.769730,-82.223801,3.952850,34.366989,-0.938899,-0.919117,-0.866666,0.999866,12
1249,2,21.784700,-61.394402,32.302898,22.910206,-0.515210,-0.686951,1.000000,0.666545,8
264,2,4.584000,-85.839798,3.952850,34.344521,-0.898474,-0.959422,-0.866666,0.999212,12
291,2,6.392390,-84.942596,1.927840,22.918720,-0.858180,-0.949421,-0.999999,0.666793,8
296,2,8.203000,-84.035202,3.952850,34.366932,-0.817836,-0.939307,-0.866666,0.999864,12
482,2,7.297770,-82.223801,1.927840,22.912195,-0.838006,-0.919117,-0.999999,0.666603,8
485,2,5.487100,-83.128197,3.952850,34.362190,-0.878351,-0.929198,-0.866666,0.999726,12
290,2,9.112050,-85.839798,1.927840,22.878788,-0.797580,-0.959422,-0.999999,0.665631,8
322,2,12.731000,-84.035202,1.927840,22.913855,-0.716943,-0.939307,-0.999999,0.666651,8
323,2,10.015100,-83.128197,1.927840,22.905159,-0.777459,-0.929198,-0.999999,0.666398,8
325,2,10.920400,-84.942596,3.952850,34.371380,-0.757287,-0.949421,-0.866666,0.999994,12
328,2,11.825800,-82.223801,3.952850,34.366993,-0.737113,-0.919117,-0.866666,0.999866,12
136,2,13.640100,-85.839798,3.952850,34.344570,-0.696687,-0.959422,-0.866666,0.999214,12
163,2,15.448500,-84.942596,1.927840,22.918720,-0.656392,-0.949421,-0.999999,0.666793,8
168,2,17.259100,-84.035202,3.952850,34.366886,-0.616049,-0.939307,-0.866666,0.999863,12
354,2,16.353901,-82.223801,1.927840,22.912260,-0.636218,-0.919117,-0.999999,0.666605,8
357,2,14.543200,-83.128197,3.952850,34.362347,-0.676564,-0.929198,-0.866666,0.999731,12
162,2,18.168100,-85.839798,1.927840,22.878826,-0.595795,-0.959422,-0.999999,0.665632,8
194,2,21.787100,-84.035202,1.927840,22.913855,-0.515157,-0.939307,-0.999999,0.666651,8
195,2,19.071199,-83.128197,1.927840,22.905146,-0.575672,-0.929198,-0.999999,0.666398,8
197,2,19.976500,-84.942596,3.952850,34.371445,-0.555500,-0.949421,-0.866666,0.999996,12
200,2,20.881901,-82.223801,3.952850,34.366962,-0.535326,-0.919117,-0.866666,0.999865,12
650,2,1.864100,-80.412102,1.927840,20.045692,-0.959078,-0.898924,-0.999999,0.583205,7
654,2,0.958252,-78.600998,3.952850,25.774096,-0.979262,-0.878737,-0.866666,0.749866,9
675,2,2.769400,-77.695396,1.927840,22.910164,-0.938907,-0.868644,-0.999999,0.666544,8
677,2,3.675160,-79.506699,3.952850,34.365696,-0.918725,-0.888832,-0.866666,0.999828,12
1220,2,19.067699,-60.488800,32.302898,22.910206,-0.575750,-0.676857,1.000000,0.666545,8
483,2,4.580860,-81.317902,1.927840,22.910822,-0.898544,-0.909020,-0.999999,0.666563,8
488,2,6.392150,-80.412102,3.952850,34.364956,-0.858185,-0.898924,-0.866666,0.999807,12
515,2,8.203210,-79.506699,1.927840,22.910616,-0.817831,-0.888832,-0.999999,0.666557,8
674,2,5.486290,-78.600998,1.927840,22.910364,-0.878369,-0.878737,-0.999999,0.666549,8
709,2,7.297440,-77.695396,3.952850,34.365307,-0.838013,-0.868644,-0.866666,0.999817,12
517,2,9.108900,-81.317902,3.952850,34.365685,-0.797651,-0.909020,-0.866666,0.999828,12
514,2,10.920200,-80.412102,1.927840,22.909573,-0.757291,-0.898924,-0.999999,0.666526,8
520,2,10.014300,-78.600998,3.952850,34.365559,-0.777477,-0.878737,-0.866666,0.999824,12
547,2,11.825500,-77.695396,1.927840,22.910221,-0.737120,-0.868644,-0.999999,0.666545,8
549,2,12.731300,-79.506699,3.952850,34.365681,-0.716937,-0.888832,-0.866666,0.999828,12
